path,component,version,license,confidence,evidence,spdx,source
fc-demo-portal/src/main/resources/static/css/lib/styles.css,Start Bootstrap Simple Sidebar,6.0.5,MIT,confirmed,in-file header comment; file is modified — first-party CSS appended,MIT,https://github.com/StartBootstrap/startbootstrap-simple-sidebar/releases/tag/v6.0.5
fc-demo-portal/src/main/resources/static/css/lib/styles.css,Bootstrap,5.1.3,MIT,confirmed,second in-file header comment in the same file,MIT,https://github.com/twbs/bootstrap/releases/tag/v5.1.3
fc-demo-portal/src/main/resources/static/css/lib/bootstrap-icons.min.css,Bootstrap Icons,1.11.3,MIT,confirmed,in-file header comment,MIT,https://github.com/twbs/icons/releases/tag/v1.11.3
fc-demo-portal/src/main/resources/static/css/lib/dataTables.min.css,DataTables,2.3.7,MIT (datatables.net/license),partial,no banner in this file; version/licence inferred from paired dataTables.min.js,MIT,https://github.com/DataTables/DataTables/releases/tag/2.3.7
fc-demo-portal/src/main/resources/static/css/lib/fonts/bootstrap-icons.woff,Bootstrap Icons,1.11.3,MIT,partial,grouped with bootstrap-icons.min.css; binary font carries no licence text,MIT,https://github.com/twbs/icons/releases/tag/v1.11.3
fc-demo-portal/src/main/resources/static/css/lib/fonts/bootstrap-icons.woff2,Bootstrap Icons,1.11.3,MIT,partial,grouped with bootstrap-icons.min.css; binary font carries no licence text,MIT,https://github.com/twbs/icons/releases/tag/v1.11.3
fc-demo-portal/src/main/resources/static/js/lib/bootstrap.bundle.min.js,Bootstrap (bundle incl. Popper),5.3.8,MIT,confirmed,in-file header comment,MIT,https://github.com/twbs/bootstrap/releases/tag/v5.3.8
fc-demo-portal/src/main/resources/static/js/lib/dataTables.min.js,DataTables,2.3.7,MIT (datatables.net/license),confirmed,"in-file banner ""/*! DataTables 2.3.7""; links to licence page rather than stating MIT verbatim",MIT,https://github.com/DataTables/DataTables/releases/tag/2.3.7
fc-demo-portal/src/main/resources/static/js/lib/jquery.min.js,jQuery,3.7.1,MIT (jquery.org/license),confirmed,in-file banner confirms version; links to licence page rather than stating MIT verbatim,MIT,https://github.com/jquery/jquery/releases/tag/3.7.1
fc-demo-portal/src/main/resources/static/images/details_open.png,DataTables default theme icon,2.3.7,MIT (datatables.net/license) - inferred,unknown,binary image carries no licence text; filename matches DataTables theme set,MIT,https://github.com/DataTables/DataTables/releases/tag/2.3.7 — inferred (theme image not independently confirmed to originate from this release; no bundled attribution)
fc-demo-portal/src/main/resources/static/images/details_close.png,DataTables default theme icon,2.3.7,MIT (datatables.net/license) - inferred,unknown,binary image carries no licence text; filename matches DataTables theme set,MIT,https://github.com/DataTables/DataTables/releases/tag/2.3.7 — inferred (theme image not independently confirmed to originate from this release; no bundled attribution)
fc-service-server/src/main/resources/static/css/bootstrap.min.css,Bootstrap,5.2.3,MIT,confirmed,in-file header comment,MIT,https://github.com/twbs/bootstrap/releases/tag/v5.2.3
fc-service-server/src/main/resources/static/css/jquery-ui.min.css,jQuery UI,1.13.2,MIT,confirmed,in-file header: Copyright jQuery Foundation and other contributors; Licensed MIT,MIT,https://github.com/jquery/jquery-ui/releases/tag/1.13.2
fc-service-server/src/main/resources/static/js/jquery-3.6.3.min.js,jQuery,3.6.3,MIT (jquery.org/license),confirmed,in-file banner confirms version; links to licence page rather than stating MIT verbatim,MIT,https://github.com/jquery/jquery/releases/tag/3.6.3
fc-service-server/src/main/resources/static/js/jquery-ui.min.js,jQuery UI,1.13.2,MIT,confirmed,in-file header: Copyright jQuery Foundation and other contributors; Licensed MIT,MIT,https://github.com/jquery/jquery-ui/releases/tag/1.13.2
